arm,year,ghi_clear_decile,n,mean_ghi_clear,mean_resid_W,mean_pred_W,sample
Reference (measured irradiance),2022,0,1573,103.6,-82.6,1474.5,in-sample
Reference (measured irradiance),2022,1,1575,223.7,-59.7,3133.6,in-sample
Reference (measured irradiance),2022,2,1569,347.6,-103.0,5152.7,in-sample
Reference (measured irradiance),2022,3,1570,465.6,-66.7,7234.1,in-sample
Reference (measured irradiance),2022,4,1569,572.1,-116.5,9246.8,in-sample
Reference (measured irradiance),2022,5,1559,662.5,-66.7,10902.4,in-sample
Reference (measured irradiance),2022,6,1573,731.6,-103.8,11589.7,in-sample
Reference (measured irradiance),2022,7,1599,803.7,-106.2,13155.5,in-sample
Reference (measured irradiance),2022,8,1602,878.4,-198.7,14943.5,in-sample
Reference (measured irradiance),2022,9,1594,942.0,-243.7,15352.9,in-sample
Reference (measured irradiance),2023,0,1568,103.8,-1030.5,2316.4,out-of-sample
Reference (measured irradiance),2023,1,1564,223.9,-1684.0,4518.5,out-of-sample
Reference (measured irradiance),2023,2,1564,347.6,-2254.5,6971.5,out-of-sample
Reference (measured irradiance),2023,3,1564,465.8,-2961.3,9668.3,out-of-sample
Reference (measured irradiance),2023,4,1560,572.3,-3424.7,11990.7,out-of-sample
Reference (measured irradiance),2023,5,1560,662.4,-3671.5,13728.9,out-of-sample
Reference (measured irradiance),2023,6,1576,731.4,-3521.5,14948.2,out-of-sample
Reference (measured irradiance),2023,7,1577,803.7,-4589.8,16561.6,out-of-sample
Reference (measured irradiance),2023,8,1567,878.3,-6160.4,19345.1,out-of-sample
Reference (measured irradiance),2023,9,1569,942.3,-7844.7,20519.0,out-of-sample
Arm A (pvlib only),2022,0,1573,103.6,-165.9,1557.8,in-sample
Arm A (pvlib only),2022,1,1575,223.7,-70.5,3144.4,in-sample
Arm A (pvlib only),2022,2,1569,347.6,-61.7,5111.5,in-sample
Arm A (pvlib only),2022,3,1570,465.6,-90.9,7258.2,in-sample
Arm A (pvlib only),2022,4,1569,572.1,-232.4,9362.6,in-sample
Arm A (pvlib only),2022,5,1559,662.5,-79.8,10915.5,in-sample
Arm A (pvlib only),2022,6,1573,731.6,-128.7,11614.6,in-sample
Arm A (pvlib only),2022,7,1599,803.7,9.9,13039.5,in-sample
Arm A (pvlib only),2022,8,1602,878.4,-106.9,14851.7,in-sample
Arm A (pvlib only),2022,9,1594,942.0,-210.7,15319.9,in-sample
Arm A (pvlib only),2023,0,1568,103.8,-415.6,1701.5,out-of-sample
Arm A (pvlib only),2023,1,1564,223.9,-575.4,3409.9,out-of-sample
Arm A (pvlib only),2023,2,1564,347.6,-686.0,5403.0,out-of-sample
Arm A (pvlib only),2023,3,1564,465.8,-1098.5,7805.5,out-of-sample
Arm A (pvlib only),2023,4,1560,572.3,-1482.0,10048.0,out-of-sample
Arm A (pvlib only),2023,5,1560,662.4,-1784.4,11841.8,out-of-sample
Arm A (pvlib only),2023,6,1576,731.4,-1502.6,12929.3,out-of-sample
Arm A (pvlib only),2023,7,1577,803.7,-1926.2,13898.0,out-of-sample
Arm A (pvlib only),2023,8,1567,878.3,-2028.4,15213.1,out-of-sample
Arm A (pvlib only),2023,9,1569,942.3,-3267.4,15941.7,out-of-sample
Arm B (ML estimate),2022,0,1573,103.6,-9.7,1401.6,in-sample
Arm B (ML estimate),2022,1,1575,223.7,108.2,2965.8,in-sample
Arm B (ML estimate),2022,2,1569,347.6,139.3,4910.4,in-sample
Arm B (ML estimate),2022,3,1570,465.6,209.5,6957.9,in-sample
Arm B (ML estimate),2022,4,1569,572.1,187.5,8942.8,in-sample
Arm B (ML estimate),2022,5,1559,662.5,236.6,10599.1,in-sample
Arm B (ML estimate),2022,6,1573,731.6,210.0,11275.9,in-sample
Arm B (ML estimate),2022,7,1599,803.7,194.6,12854.7,in-sample
Arm B (ML estimate),2022,8,1602,878.4,43.0,14701.9,in-sample
Arm B (ML estimate),2022,9,1594,942.0,-55.3,15164.5,in-sample
Arm B (ML estimate),2023,0,1568,103.8,-362.6,1648.6,out-of-sample
Arm B (ML estimate),2023,1,1564,223.9,-547.8,3382.3,out-of-sample
Arm B (ML estimate),2023,2,1564,347.6,-788.6,5505.7,out-of-sample
Arm B (ML estimate),2023,3,1564,465.8,-1105.5,7812.5,out-of-sample
Arm B (ML estimate),2023,4,1560,572.3,-1170.1,9736.1,out-of-sample
Arm B (ML estimate),2023,5,1560,662.4,-1456.1,11513.5,out-of-sample
Arm B (ML estimate),2023,6,1576,731.4,-1209.9,12636.6,out-of-sample
Arm B (ML estimate),2023,7,1577,803.7,-1342.7,13314.5,out-of-sample
Arm B (ML estimate),2023,8,1567,878.3,-1700.4,14885.1,out-of-sample
