arm,year,sample,n,mean_W,median_W,sd_W,p5,p25,p75,p95
Reference (measured irradiance),2021,in-sample,9331,191.8,213.4,2236.8,-3378.7,-353.8,798.3,3635.2
Reference (measured irradiance),2022,in-sample,15783,-115.1,-41.0,1886.0,-2894.4,-539.7,405.0,2434.7
Reference (measured irradiance),2023,OUT-of-sample,15669,-3716.1,-2634.6,3931.7,-11665.0,-5258.3,-1142.8,168.6
Arm A (pvlib only),2021,in-sample,9331,-1.6,-12.4,3271.8,-5708.5,-1404.0,1552.1,5406.8
Arm A (pvlib only),2022,in-sample,15783,-113.7,-61.9,2666.2,-4700.5,-1197.5,1150.3,4035.5
Arm A (pvlib only),2023,OUT-of-sample,15669,-1477.4,-891.9,3926.7,-8867.4,-3025.4,510.7,4195.5
Arm B (ML estimate),2021,in-sample,9331,236.4,70.7,3166.9,-4933.4,-1164.8,1642.9,5822.2
Arm B (ML estimate),2022,in-sample,15783,126.0,112.7,2168.8,-3199.2,-654.4,986.1,3412.1
Arm B (ML estimate),2023,OUT-of-sample,15669,-1197.6,-679.1,3511.8,-7759.5,-2542.2,472.1,3761.0
Arm C (pvlib + ML estimate),2021,in-sample,9331,88.6,32.2,3087.8,-5051.2,-1189.3,1415.1,5359.3
Arm C (pvlib + ML estimate),2022,in-sample,15783,47.4,42.1,2159.3,-3335.6,-714.2,956.1,3268.0
Arm C (pvlib + ML estimate),2023,OUT-of-sample,15669,-1327.1,-741.1,3498.9,-7924.6,-2569.9,346.6,3447.8
