,pred,actual,resid,z,alert
2022-12-31 07:45:00+08:00,2138.358,2178.6667,40.308838,0.01385943,0
2022-12-31 08:00:00+08:00,3181.8262,3275.6667,93.840576,0.032265306,0
2022-12-31 08:15:00+08:00,4260.3906,4423.6665,163.27588,0.05613932,0
2022-12-31 08:30:00+08:00,5493.14,5988.3335,495.19336,0.17026286,0
2022-12-31 08:45:00+08:00,6828.2983,7700.6665,872.36816,0.29994726,0
2022-12-31 09:00:00+08:00,8389.433,9384.667,995.2344,0.3421925,0
2022-12-31 09:15:00+08:00,9441.554,10796.0,1354.4463,0.46570072,0
2022-12-31 09:30:00+08:00,11125.854,12151.0,1025.1465,0.35247722,0
2022-12-31 09:45:00+08:00,13333.161,13460.667,127.50586,0.043840475,0
2022-12-31 10:00:00+08:00,14733.607,15151.0,417.39258,0.14351253,0
2022-12-31 10:15:00+08:00,16075.232,15842.5,-232.73242,-0.08002064,0
2022-12-31 10:30:00+08:00,16695.965,16607.334,-88.63086,-0.030474043,0
2022-12-31 10:45:00+08:00,16728.209,17222.0,493.79102,0.16978069,0
2022-12-31 11:00:00+08:00,16382.979,17365.0,982.0215,0.3376495,0
2022-12-31 11:15:00+08:00,16142.635,15811.0,-331.63477,-0.11402634,0
2022-12-31 11:30:00+08:00,16044.889,16076.333,31.444336,0.010811539,0
2022-12-31 11:45:00+08:00,16089.119,16045.0,-44.11914,-0.015169531,0
2022-12-31 12:00:00+08:00,15926.711,15860.0,-66.71094,-0.022937292,0
2022-12-31 12:15:00+08:00,15703.988,15820.333,116.34473,0.04000293,0
2022-12-31 12:30:00+08:00,15335.484,15541.667,206.18262,0.07089199,0
2022-12-31 12:45:00+08:00,14945.451,15218.333,272.88184,0.09382525,0
2022-12-31 13:00:00+08:00,14630.822,15018.667,387.84473,0.13335307,0
2022-12-31 13:15:00+08:00,14061.975,14827.667,765.6924,0.26326883,0
2022-12-31 13:30:00+08:00,13387.9,14404.333,1016.4326,0.3494811,0
2022-12-31 13:45:00+08:00,12688.73,13971.667,1282.9365,0.44111344,0
2022-12-31 14:00:00+08:00,12016.318,13279.333,1263.0146,0.43426368,0
2022-12-31 14:15:00+08:00,11288.764,12573.667,1284.9033,0.4417897,0
2022-12-31 14:30:00+08:00,10461.949,11339.0,877.0508,0.3015573,0
2022-12-31 14:45:00+08:00,9497.156,10093.667,596.51074,0.20509893,0
2022-12-31 15:00:00+08:00,8214.379,9483.5,1269.1211,0.43636325,0
2022-12-31 15:15:00+08:00,6999.7627,8658.667,1658.9043,0.57038283,0
2022-12-31 15:30:00+08:00,6153.7495,7589.6665,1435.917,0.49371287,0
2022-12-31 15:45:00+08:00,5484.4795,6591.0,1106.5205,0.38045612,0
2022-12-31 16:00:00+08:00,4800.256,5563.3335,763.07764,0.2623698,0
2022-12-31 16:15:00+08:00,4014.5845,4392.6665,378.08203,0.12999634,0
2022-12-31 16:30:00+08:00,3147.3848,2465.0,-682.38477,-0.23462509,0
2022-12-31 16:45:00+08:00,2256.7012,1430.3334,-826.3678,-0.28413093,0
2022-12-31 17:00:00+08:00,1403.834,1106.6666,-297.16736,-0.10217537,0
2023-01-01 07:45:00+08:00,1552.0742,1666.3334,114.259155,0.039285846,0
2023-01-01 08:00:00+08:00,2115.6,2465.6667,350.06665,0.12036379,0
2023-01-01 08:15:00+08:00,2238.5503,2317.0,78.44971,0.026973447,0
2023-01-01 08:30:00+08:00,2454.4727,3461.6667,1007.1941,0.34630463,0
2023-01-01 08:45:00+08:00,2796.7593,4709.0,1912.2407,0.65748775,0
2023-01-01 09:00:00+08:00,2783.4443,5259.3335,2475.8892,0.8512876,0
2023-01-01 09:15:00+08:00,3246.4111,6162.0,2915.5889,1.00247,0
2023-01-01 09:30:00+08:00,3744.9443,8466.333,4721.3887,1.6233602,0
2023-01-01 09:45:00+08:00,4781.0376,9503.667,4722.6294,1.6237867,0
2023-01-01 10:00:00+08:00,6258.3135,9133.0,2874.6865,0.98840654,0
2023-01-01 10:15:00+08:00,10373.217,12781.0,2407.7832,0.82787067,0
2023-01-01 10:30:00+08:00,12104.029,11398.0,-706.0293,-0.2427548,0
2023-01-01 10:45:00+08:00,12781.345,13906.0,1124.6553,0.38669142,0
2023-01-01 11:00:00+08:00,12641.168,10910.333,-1730.835,-0.5951148,0
2023-01-01 11:15:00+08:00,11392.44,12477.667,1085.2266,0.3731346,0
2023-01-01 11:30:00+08:00,11247.379,11198.0,-49.378906,-0.016978001,0
2023-01-01 11:45:00+08:00,11240.845,9142.333,-2098.5117,-0.72153354,0
2023-01-01 12:00:00+08:00,12011.422,9136.0,-2875.4219,-0.9886594,0
2023-01-01 12:15:00+08:00,13232.11,7327.3335,-5904.777,-2.0302458,0
2023-01-01 12:30:00+08:00,13971.883,9505.0,-4466.883,-1.535853,0
2023-01-01 12:45:00+08:00,14400.287,10423.5,-3976.787,-1.367343,0
2023-01-01 13:00:00+08:00,14230.68,10903.0,-3327.6797,-1.1441597,0
2023-01-01 13:15:00+08:00,14772.951,13645.667,-1127.2842,-0.38759533,0
2023-01-01 13:30:00+08:00,15111.832,12643.0,-2468.832,-0.84886116,0
2023-01-01 13:45:00+08:00,13669.116,10912.0,-2757.1162,-0.9479822,0
2023-01-01 14:00:00+08:00,12459.779,10828.0,-1631.7793,-0.56105644,0
2023-01-01 14:15:00+08:00,11898.588,9005.0,-2893.588,-0.9949054,0
2023-01-01 14:30:00+08:00,10787.85,8660.667,-2127.1826,-0.7313915,0
2023-01-01 14:45:00+08:00,10272.264,8223.333,-2048.9307,-0.704486,0
2023-01-01 15:00:00+08:00,9612.055,7735.0,-1877.0547,-0.64538974,0
2023-01-01 15:15:00+08:00,8819.612,5598.6665,-3220.9458,-1.1074612,0
2023-01-01 15:30:00+08:00,8183.991,6091.6665,-2092.3247,-0.71940625,0
2023-01-01 15:45:00+08:00,7692.3384,4503.6665,-3188.6719,-1.0963645,0
2023-01-01 16:00:00+08:00,6818.7637,4155.0,-2663.7637,-0.9158847,0
2023-01-01 16:15:00+08:00,5751.5,4563.0,-1188.5,-0.40864322,0
2023-01-01 16:30:00+08:00,4305.4907,4151.3335,-154.15723,-0.053004045,0
2023-01-01 16:45:00+08:00,2875.0981,1381.0,-1494.0981,-0.51371735,0
2023-01-01 17:00:00+08:00,1807.9565,1192.6666,-615.2899,-0.2115558,0
2023-01-02 07:45:00+08:00,1067.7871,2899.0,1831.2129,0.6296279,0
2023-01-02 08:00:00+08:00,2417.1978,5440.0,3022.8022,1.0393333,0
2023-01-02 08:15:00+08:00,3902.4976,4823.0,920.50244,0.31649733,0
2023-01-02 08:30:00+08:00,2826.0059,5037.6665,2211.6606,0.7604376,0
2023-01-02 08:45:00+08:00,2621.1294,4510.6665,1889.5371,0.64968157,0
2023-01-02 09:00:00+08:00,2933.5605,4959.6665,2026.106,0.69663817,0
2023-01-02 09:15:00+08:00,3981.9722,7450.3335,3468.3613,1.1925304,0
2023-01-02 09:30:00+08:00,5187.457,8962.0,3774.543,1.2978052,0
2023-01-02 09:45:00+08:00,7716.326,10658.0,2941.6738,1.0114388,0
2023-01-02 10:00:00+08:00,12259.707,20047.666,7787.959,2.6777422,0
2023-01-02 10:15:00+08:00,11959.014,17303.0,5343.9863,1.8374286,0
2023-01-02 10:30:00+08:00,12506.642,16415.334,3908.6924,1.3439299,0
2023-01-02 10:45:00+08:00,13513.742,15807.667,2293.9248,0.78872263,0
2023-01-02 11:00:00+08:00,14899.985,12444.333,-2455.6523,-0.84432954,0
2023-01-02 11:15:00+08:00,14359.095,14178.0,-181.09473,-0.062265992,0
2023-01-02 11:30:00+08:00,14365.51,12776.333,-1589.1768,-0.54640836,0
