,pred,actual,resid,z,alert
2022-12-31 07:45:00+08:00,2065.2837,2178.6667,113.38306,0.043822095,0
2022-12-31 08:00:00+08:00,3033.9697,3275.6667,241.69702,0.093414925,0
2022-12-31 08:15:00+08:00,3892.602,4423.6665,531.06445,0.20525427,0
2022-12-31 08:30:00+08:00,4962.0845,5988.3335,1026.249,0.3966411,0
2022-12-31 08:45:00+08:00,6997.383,7700.6665,703.2837,0.2718163,0
2022-12-31 09:00:00+08:00,8108.2017,9384.667,1276.4653,0.4933487,0
2022-12-31 09:15:00+08:00,9726.922,10796.0,1069.0781,0.4131944,0
2022-12-31 09:30:00+08:00,12490.803,12151.0,-339.80273,-0.13133238,0
2022-12-31 09:45:00+08:00,13843.507,13460.667,-382.83984,-0.14796606,0
2022-12-31 10:00:00+08:00,14784.029,15151.0,366.9707,0.1418327,0
2022-12-31 10:15:00+08:00,16117.549,15842.5,-275.04883,-0.106305264,0
2022-12-31 10:30:00+08:00,16774.684,16607.334,-167.34961,-0.06467995,0
2022-12-31 10:45:00+08:00,17147.145,17222.0,74.85547,0.028931336,0
2022-12-31 11:00:00+08:00,16773.234,17365.0,591.7656,0.22871503,0
2022-12-31 11:15:00+08:00,16106.572,15811.0,-295.57227,-0.11423749,0
2022-12-31 11:30:00+08:00,15863.447,16076.333,212.88574,0.08227948,0
2022-12-31 11:45:00+08:00,15627.92,16045.0,417.08008,0.16119976,0
2022-12-31 12:00:00+08:00,15507.581,15860.0,352.41895,0.1362085,0
2022-12-31 12:15:00+08:00,15492.865,15820.333,327.46777,0.12656498,0
2022-12-31 12:30:00+08:00,15393.402,15541.667,148.26465,0.05730369,0
2022-12-31 12:45:00+08:00,15244.215,15218.333,-25.881836,-0.010003225,0
2022-12-31 13:00:00+08:00,15166.667,15018.667,-148.0,-0.057201404,0
2022-12-31 13:15:00+08:00,14826.879,14827.667,0.78808594,0.00030459205,0
2022-12-31 13:30:00+08:00,14037.326,14404.333,367.00684,0.14184666,0
2022-12-31 13:45:00+08:00,13431.242,13971.667,540.4248,0.208872,0
2022-12-31 14:00:00+08:00,12734.015,13279.333,545.31836,0.21076335,0
2022-12-31 14:15:00+08:00,11835.966,12573.667,737.7012,0.28511852,0
2022-12-31 14:30:00+08:00,10814.46,11339.0,524.54004,0.20273261,0
2022-12-31 14:45:00+08:00,9887.277,10093.667,206.38965,0.07976877,0
2022-12-31 15:00:00+08:00,9116.497,9483.5,367.00293,0.14184515,0
2022-12-31 15:15:00+08:00,8372.599,8658.667,286.06836,0.11056427,0
2022-12-31 15:30:00+08:00,7573.697,7589.6665,15.969727,0.006172235,0
2022-12-31 15:45:00+08:00,6242.586,6591.0,348.41406,0.13466063,0
2022-12-31 16:00:00+08:00,4988.4834,5563.3335,574.8501,0.22217724,0
2022-12-31 16:15:00+08:00,3834.5444,4392.6665,558.1221,0.21571194,0
2022-12-31 16:30:00+08:00,2830.4512,2465.0,-365.45117,-0.14124541,0
2022-12-31 16:45:00+08:00,1968.4092,1430.3334,-538.0758,-0.20796412,0
