,pred,actual,resid,z,alert
2022-12-31 07:45:00+08:00,2100.7036,2178.6667,77.963135,0.03062451,0
2022-12-31 08:00:00+08:00,2784.479,3275.6667,491.18774,0.19294228,0
2022-12-31 08:15:00+08:00,3469.503,4423.6665,954.1636,0.3748027,0
2022-12-31 08:30:00+08:00,4384.161,5988.3335,1604.1724,0.63013107,0
2022-12-31 08:45:00+08:00,6408.619,7700.6665,1292.0474,0.50752604,0
2022-12-31 09:00:00+08:00,7246.54,9384.667,2138.127,0.8398725,0
2022-12-31 09:15:00+08:00,8328.814,10796.0,2467.1855,0.9691292,0
2022-12-31 09:30:00+08:00,10804.42,12151.0,1346.5801,0.5289469,0
2022-12-31 09:45:00+08:00,12128.467,13460.667,1332.2002,0.5232983,0
2022-12-31 10:00:00+08:00,13364.137,15151.0,1786.8633,0.70189345,0
2022-12-31 10:15:00+08:00,14663.375,15842.5,1179.125,0.46316925,0
2022-12-31 10:30:00+08:00,15253.285,16607.334,1354.0488,0.5318807,0
2022-12-31 10:45:00+08:00,15682.682,17222.0,1539.3184,0.6046559,0
2022-12-31 11:00:00+08:00,15513.332,17365.0,1851.668,0.7273492,0
2022-12-31 11:15:00+08:00,15382.897,15811.0,428.10254,0.16816193,0
2022-12-31 11:30:00+08:00,15781.223,16076.333,295.11035,0.11592159,0
2022-12-31 11:45:00+08:00,15835.164,16045.0,209.83594,0.08242515,0
2022-12-31 12:00:00+08:00,15701.148,15860.0,158.85156,0.0623981,0
2022-12-31 12:15:00+08:00,15564.21,15820.333,256.12305,0.100607075,0
2022-12-31 12:30:00+08:00,15293.238,15541.667,248.42871,0.09758469,0
2022-12-31 12:45:00+08:00,15027.721,15218.333,190.6123,0.07487396,0
2022-12-31 13:00:00+08:00,14891.18,15018.667,127.487305,0.050077982,0
2022-12-31 13:15:00+08:00,14488.402,14827.667,339.26465,0.13326573,0
2022-12-31 13:30:00+08:00,13718.02,14404.333,686.3135,0.26958916,0
2022-12-31 13:45:00+08:00,13237.023,13971.667,734.64355,0.28857356,0
2022-12-31 14:00:00+08:00,12585.938,13279.333,693.39453,0.27237064,0
2022-12-31 14:15:00+08:00,11635.953,12573.667,937.71387,0.36834112,0
2022-12-31 14:30:00+08:00,10623.273,11339.0,715.72656,0.28114283,0
2022-12-31 14:45:00+08:00,9944.763,10093.667,148.9043,0.05849074,0
2022-12-31 15:00:00+08:00,9249.102,9483.5,234.39844,0.092073485,0
2022-12-31 15:15:00+08:00,8205.63,8658.667,453.0371,0.17795642,0
2022-12-31 15:30:00+08:00,7305.3096,7589.6665,284.35693,0.11169756,0
2022-12-31 15:45:00+08:00,6048.117,6591.0,542.8828,0.21324849,0
2022-12-31 16:00:00+08:00,4881.81,5563.3335,681.52344,0.2677076,0
2022-12-31 16:15:00+08:00,3737.7505,4392.6665,654.916,0.25725597,0
2022-12-31 16:30:00+08:00,2711.0796,2465.0,-246.07959,-0.09666193,0
2022-12-31 16:45:00+08:00,1860.0786,1430.3334,-429.74524,-0.1688072,0
2022-12-31 17:00:00+08:00,1147.1475,1106.6666,-40.480835,-0.01590118,0
2023-01-01 07:45:00+08:00,1362.5981,1666.3334,303.73523,0.11930951,0
2023-01-01 08:00:00+08:00,1588.083,2465.6667,877.58374,0.34472156,0
2023-01-01 08:15:00+08:00,2133.5044,2317.0,183.4956,0.07207847,0
2023-01-01 08:30:00+08:00,2716.393,3461.6667,745.2737,0.29274917,0
2023-01-01 08:45:00+08:00,4816.347,4709.0,-107.34717,-0.042166784,0
2023-01-01 09:00:00+08:00,6493.923,5259.3335,-1234.5894,-0.4849561,0
2023-01-01 09:15:00+08:00,8493.329,6162.0,-2331.329,-0.9157638,0
2023-01-01 09:30:00+08:00,9271.036,8466.333,-804.7031,-0.3160935,0
2023-01-01 09:45:00+08:00,10692.121,9503.667,-1188.4541,-0.4668338,0
2023-01-01 10:00:00+08:00,11869.507,9133.0,-2736.5068,-1.0749207,0
2023-01-01 10:15:00+08:00,14302.803,12781.0,-1521.8027,-0.5977757,0
2023-01-01 10:30:00+08:00,14858.902,11398.0,-3460.9023,-1.3594687,0
2023-01-01 10:45:00+08:00,15429.98,13906.0,-1523.9805,-0.5986311,0
2023-01-01 11:00:00+08:00,16442.361,10910.333,-5532.0283,-2.1730227,0
2023-01-01 11:15:00+08:00,16582.357,12477.667,-4104.6904,-1.6123536,0
2023-01-01 11:30:00+08:00,16419.926,11198.0,-5221.926,-2.051212,0
2023-01-01 11:45:00+08:00,16344.833,9142.333,-7202.5,-2.8291967,0
2023-01-01 12:00:00+08:00,15398.71,9136.0,-6262.71,-2.46004,0
2023-01-01 12:15:00+08:00,15349.146,7327.3335,-8021.813,-3.151029,0
2023-01-01 12:30:00+08:00,15386.682,9505.0,-5881.6816,-2.3103693,0
2023-01-01 12:45:00+08:00,15912.639,10423.5,-5489.1387,-2.1561754,0
2023-01-01 13:00:00+08:00,15091.731,10903.0,-4188.7314,-1.6453655,0
2023-01-01 13:15:00+08:00,14844.031,13645.667,-1198.3643,-0.47072658,0
2023-01-01 13:30:00+08:00,14131.973,12643.0,-1488.9727,-0.58487976,0
2023-01-01 13:45:00+08:00,13590.352,10912.0,-2678.3516,-1.0520768,0
2023-01-01 14:00:00+08:00,13006.576,10828.0,-2178.5762,-0.8557613,0
2023-01-01 14:15:00+08:00,11989.874,9005.0,-2984.874,-1.1724812,0
2023-01-01 14:30:00+08:00,10585.116,8660.667,-1924.4492,-0.7559383,0
2023-01-01 14:45:00+08:00,9518.333,8223.333,-1295.0,-0.5086858,0
2023-01-01 15:00:00+08:00,8561.763,7735.0,-826.7627,-0.32475868,0
2023-01-01 15:15:00+08:00,8259.824,5598.6665,-2661.1577,-1.045323,0
2023-01-01 15:30:00+08:00,7782.758,6091.6665,-1691.0913,-0.6642735,0
