,pred,actual,resid,z,alert
2022-12-31 07:45:00+08:00,2056.37,2178.6667,122.29663,0.060237005,0
2022-12-31 08:00:00+08:00,3206.5762,3275.6667,69.090576,0.034030452,0
2022-12-31 08:15:00+08:00,4495.8174,4423.6665,-72.15088,-0.035537798,0
2022-12-31 08:30:00+08:00,6292.6396,5988.3335,-304.30615,-0.1498855,0
2022-12-31 08:45:00+08:00,8165.2764,7700.6665,-464.60986,-0.22884282,0
2022-12-31 09:00:00+08:00,9814.043,9384.667,-429.37598,-0.21148844,0
2022-12-31 09:15:00+08:00,11548.967,10796.0,-752.9668,-0.37087256,0
2022-12-31 09:30:00+08:00,12881.18,12151.0,-730.1797,-0.35964882,0
2022-12-31 09:45:00+08:00,14357.508,13460.667,-896.8408,-0.44173747,0
2022-12-31 10:00:00+08:00,15591.422,15151.0,-440.42188,-0.21692908,0
2022-12-31 10:15:00+08:00,16459.8,15842.5,-617.3008,-0.3040505,0
2022-12-31 10:30:00+08:00,16999.596,16607.334,-392.26172,-0.19320787,0
2022-12-31 10:45:00+08:00,17156.658,17222.0,65.3418,0.032183997,0
2022-12-31 11:00:00+08:00,16963.715,17365.0,401.28516,0.19765235,0
2022-12-31 11:15:00+08:00,16568.357,15811.0,-757.3574,-0.37303516,0
2022-12-31 11:30:00+08:00,16235.9375,16076.333,-159.60449,-0.07861293,0
2022-12-31 11:45:00+08:00,16033.094,16045.0,11.90625,0.005864404,0
2022-12-31 12:00:00+08:00,15938.516,15860.0,-78.515625,-0.03867274,0
2022-12-31 12:15:00+08:00,15827.234,15820.333,-6.901367,-0.003399257,0
2022-12-31 12:30:00+08:00,15685.936,15541.667,-144.26855,-0.07105924,0
2022-12-31 12:45:00+08:00,15479.771,15218.333,-261.43848,-0.1287711,0
2022-12-31 13:00:00+08:00,15151.354,15018.667,-132.68652,-0.06535453,0
2022-12-31 13:15:00+08:00,14760.682,14827.667,66.98535,0.032993525,0
2022-12-31 13:30:00+08:00,14267.231,14404.333,137.10156,0.06752915,0
2022-12-31 13:45:00+08:00,13663.451,13971.667,308.21582,0.1518112,0
2022-12-31 14:00:00+08:00,12921.423,13279.333,357.91016,0.17628807,0
2022-12-31 14:15:00+08:00,11998.855,12573.667,574.8115,0.28312248,0
2022-12-31 14:30:00+08:00,10983.929,11339.0,355.0713,0.17488979,0
2022-12-31 14:45:00+08:00,10062.534,10093.667,31.132812,0.015334416,0
2022-12-31 15:00:00+08:00,9259.908,9483.5,223.5918,0.11012977,0
2022-12-31 15:15:00+08:00,8529.217,8658.667,129.4502,0.06376048,0
2022-12-31 15:30:00+08:00,7806.746,7589.6665,-217.07959,-0.1069222,0
2022-12-31 15:45:00+08:00,6676.4473,6591.0,-85.447266,-0.04208691,0
2022-12-31 16:00:00+08:00,5329.958,5563.3335,233.37549,0.11494872,0
2022-12-31 16:15:00+08:00,3985.855,4392.6665,406.81152,0.20037435,0
2022-12-31 16:30:00+08:00,2713.792,2465.0,-248.79199,-0.12254209,0
