,pred,actual,resid,z,alert
2021-06-01 06:30:00+08:00,799.0508,201.0,-598.0508,-0.20562844,0
2021-06-01 06:45:00+08:00,1045.6865,493.0,-552.6865,-0.1900308,0
2021-06-01 07:00:00+08:00,1529.0947,1059.6666,-469.4281,-0.16140397,0
2021-06-01 07:15:00+08:00,2053.2764,1265.3334,-787.943,-0.2709193,0
2021-06-01 07:30:00+08:00,2412.4136,1326.6666,-1085.747,-0.37331352,0
2021-06-01 07:45:00+08:00,3162.2183,1188.0,-1974.2183,-0.67879754,0
2021-06-01 08:00:00+08:00,3155.0952,1866.3334,-1288.7618,-0.44311637,0
2021-06-01 08:15:00+08:00,4071.3193,1259.3334,-2811.9858,-0.9668481,0
2021-06-01 08:30:00+08:00,3718.457,605.3333,-3113.1238,-1.0703887,0
2021-06-01 08:45:00+08:00,3605.1343,3083.0,-522.1343,-0.17952599,0
2021-06-01 09:00:00+08:00,3710.9927,2190.3333,-1520.6594,-0.52285,0
2021-06-01 09:15:00+08:00,2481.4087,1135.6666,-1345.7421,-0.46270794,0
2021-06-01 09:30:00+08:00,1899.7153,458.0,-1441.7153,-0.49570653,0
2021-06-01 09:45:00+08:00,2339.9014,782.0,-1557.9014,-0.5356549,0
2021-06-01 10:00:00+08:00,2921.4868,1795.0,-1126.4868,-0.38732117,0
2021-06-01 10:15:00+08:00,2468.13,2032.3334,-435.7965,-0.14984038,0
2021-06-01 10:30:00+08:00,4260.36,3437.3333,-823.0266,-0.2829821,0
2021-06-01 10:45:00+08:00,4602.2354,1187.6666,-3414.5688,-1.1740348,0
2021-06-01 11:00:00+08:00,6416.2217,4740.6665,-1675.5552,-0.5761079,0
2021-06-01 11:15:00+08:00,8294.338,12117.333,3822.995,1.3144644,0
2021-06-01 11:30:00+08:00,7886.7295,8730.0,843.2705,0.2899426,0
2021-06-01 11:45:00+08:00,9750.59,14768.333,5017.743,1.725256,0
2021-06-01 12:00:00+08:00,11340.619,12682.333,1341.7139,0.4613229,0
2021-06-01 12:15:00+08:00,7341.594,6517.0,-824.59424,-0.28352112,0
2021-06-01 12:30:00+08:00,8144.5654,5262.3335,-2882.232,-0.9910009,0
2021-06-01 12:45:00+08:00,8595.318,8325.667,-269.65137,-0.09271452,0
2021-06-01 13:00:00+08:00,11102.693,9646.667,-1456.0264,-0.5006271,0
2021-06-01 13:15:00+08:00,10624.396,16318.333,5693.9365,1.9577522,0
2021-06-01 13:30:00+08:00,11191.921,8643.333,-2548.588,-0.8762837,0
2021-06-01 13:45:00+08:00,7348.6836,4314.6665,-3034.017,-1.0431893,0
2021-06-01 14:00:00+08:00,5358.351,1973.3334,-3385.0176,-1.1638741,0
2021-06-01 14:15:00+08:00,4171.7954,2064.0,-2107.7954,-0.72472554,0
2021-06-01 14:30:00+08:00,5462.1787,3171.6667,-2290.512,-0.7875492,0
2021-06-01 14:45:00+08:00,5478.837,3480.6667,-1998.1702,-0.687033,0
2021-06-01 15:00:00+08:00,4010.6748,800.6667,-3210.008,-1.1037005,0
2021-06-01 15:15:00+08:00,2445.7236,2509.6667,63.943115,0.02198563,0
2021-06-01 15:30:00+08:00,2008.4966,3683.3333,1674.8367,0.57586086,0
2021-06-01 15:45:00+08:00,2074.4595,710.3333,-1364.1262,-0.46902898,0
2021-06-01 16:00:00+08:00,1838.7896,1444.6666,-394.12292,-0.13551171,0
2021-06-01 16:15:00+08:00,2058.1074,1469.0,-589.1074,-0.20255344,0
2021-06-01 16:30:00+08:00,2429.5884,964.3333,-1465.2551,-0.5038002,0
2021-06-01 16:45:00+08:00,2233.71,190.66667,-2043.0433,-0.7024618,0
2021-06-01 17:00:00+08:00,1738.0347,26.666666,-1711.368,-0.5884215,0
2021-06-01 17:15:00+08:00,1265.3701,0.0,-1265.3701,-0.43507355,0
