,pred,actual,resid,z,alert
2021-06-01 06:30:00+08:00,566.251,201.0,-365.25098,-0.14116803,0
2021-06-01 06:45:00+08:00,1180.5781,493.0,-687.5781,-0.26574618,0
2021-06-01 07:00:00+08:00,1270.0845,1059.6666,-210.41785,-0.08132565,0
2021-06-01 07:15:00+08:00,1653.9722,1265.3334,-388.6388,-0.15020733,0
2021-06-01 07:30:00+08:00,2040.8677,1326.6666,-714.20105,-0.27603582,0
2021-06-01 07:45:00+08:00,2151.7017,1188.0,-963.70166,-0.3724668,0
2021-06-01 08:00:00+08:00,2355.9707,1866.3334,-489.63733,-0.18924285,0
2021-06-01 08:15:00+08:00,3048.435,1259.3334,-1789.1017,-0.6914806,0
2021-06-01 08:30:00+08:00,3020.9448,605.3333,-2415.6116,-0.93362415,0
2021-06-01 08:45:00+08:00,4352.252,3083.0,-1269.252,-0.49056077,0
2021-06-01 09:00:00+08:00,3505.6309,2190.3333,-1315.2976,-0.5083572,0
2021-06-01 09:15:00+08:00,2656.9683,1135.6666,-1521.3016,-0.58797693,0
2021-06-01 09:30:00+08:00,2035.9438,458.0,-1577.9438,-0.60986894,0
2021-06-01 09:45:00+08:00,2806.838,782.0,-2024.8379,-0.7825917,0
2021-06-01 10:00:00+08:00,2856.604,1795.0,-1061.604,-0.41030568,0
2021-06-01 10:15:00+08:00,2887.0596,2032.3334,-854.7262,-0.33034822,0
2021-06-01 10:30:00+08:00,3909.899,3437.3333,-472.56567,-0.18264472,0
2021-06-01 10:45:00+08:00,5235.8906,1187.6666,-4048.224,-1.5646223,0
2021-06-01 11:00:00+08:00,7305.6943,4740.6665,-2565.0278,-0.9913729,0
2021-06-01 11:15:00+08:00,8262.197,12117.333,3855.1357,1.4899944,0
2021-06-01 11:30:00+08:00,8531.951,8730.0,198.04883,0.076545075,0
2021-06-01 11:45:00+08:00,7850.2656,14768.333,6918.0674,2.6738052,0
2021-06-01 12:00:00+08:00,9725.625,12682.333,2956.708,1.1427557,0
2021-06-01 12:15:00+08:00,7180.616,6517.0,-663.6162,-0.256485,0
2021-06-01 12:30:00+08:00,9709.755,5262.3335,-4447.4214,-1.7189105,0
2021-06-01 12:45:00+08:00,9833.959,8325.667,-1508.292,-0.58294874,0
2021-06-01 13:00:00+08:00,11200.271,9646.667,-1553.6045,-0.60046184,0
2021-06-01 13:15:00+08:00,10742.4795,16318.333,5575.8535,2.1550448,0
2021-06-01 13:30:00+08:00,10336.828,8643.333,-1693.4951,-0.65452904,0
2021-06-01 13:45:00+08:00,5554.153,4314.6665,-1239.4863,-0.47905648,0
2021-06-01 14:00:00+08:00,4548.17,1973.3334,-2574.8364,-0.9951639,0
2021-06-01 14:15:00+08:00,3996.852,2064.0,-1932.852,-0.7470395,0
2021-06-01 14:30:00+08:00,4464.689,3171.6667,-1293.0222,-0.49974787,0
2021-06-01 14:45:00+08:00,4842.415,3480.6667,-1361.7483,-0.5263102,0
2021-06-01 15:00:00+08:00,3313.1377,800.6667,-2512.471,-0.97105986,0
2021-06-01 15:15:00+08:00,2820.5137,2509.6667,-310.84692,-0.12014108,0
2021-06-01 15:30:00+08:00,3094.1533,3683.3333,589.17993,0.22771567,0
2021-06-01 15:45:00+08:00,2402.5479,710.3333,-1692.2146,-0.65403414,0
2021-06-01 16:00:00+08:00,2649.1787,1444.6666,-1204.5121,-0.46553907,0
2021-06-01 16:15:00+08:00,1980.4243,1469.0,-511.42432,-0.19766344,0
2021-06-01 16:30:00+08:00,1608.4995,964.3333,-644.1662,-0.24896763,0
2021-06-01 16:45:00+08:00,1537.8643,190.66667,-1347.1976,-0.52068645,0
