,pred,actual,resid,z,alert
2021-06-01 06:30:00+08:00,535.6787,201.0,-334.6787,-0.13146433,0
2021-06-01 06:45:00+08:00,1116.5405,493.0,-623.5405,-0.24493146,0
2021-06-01 07:00:00+08:00,1217.7334,1059.6666,-158.06677,-0.062089827,0
2021-06-01 07:15:00+08:00,1590.6704,1265.3334,-325.33704,-0.12779486,0
2021-06-01 07:30:00+08:00,2007.2324,1326.6666,-680.5658,-0.26733142,0
2021-06-01 07:45:00+08:00,2136.1948,1188.0,-948.1948,-0.37245813,0
2021-06-01 08:00:00+08:00,2268.4111,1866.3334,-402.07776,-0.1579392,0
2021-06-01 08:15:00+08:00,2961.3672,1259.3334,-1702.0338,-0.6685718,0
2021-06-01 08:30:00+08:00,2662.836,605.3333,-2057.5027,-0.8082027,0
2021-06-01 08:45:00+08:00,3886.8535,3083.0,-803.8535,-0.31575978,0
2021-06-01 09:00:00+08:00,2766.478,2190.3333,-576.1448,-0.22631404,0
2021-06-01 09:15:00+08:00,1718.4302,1135.6666,-582.76355,-0.22891395,0
2021-06-01 09:30:00+08:00,1037.7402,458.0,-579.74023,-0.22772637,0
2021-06-01 09:45:00+08:00,1823.6167,782.0,-1041.6167,-0.40915495,0
2021-06-01 10:00:00+08:00,1824.0117,1795.0,-29.011719,-0.011396023,0
2021-06-01 10:15:00+08:00,1801.6299,2032.3334,230.70349,0.09062208,0
2021-06-01 10:30:00+08:00,2989.274,3437.3333,448.05933,0.1760011,0
2021-06-01 10:45:00+08:00,4177.6616,1187.6666,-2989.995,-1.1744928,0
2021-06-01 11:00:00+08:00,6338.3145,4740.6665,-1597.648,-0.62756824,0
2021-06-01 11:15:00+08:00,7626.7607,12117.333,4490.5723,1.7639309,0
2021-06-01 11:30:00+08:00,8023.971,8730.0,706.0288,0.27733347,0
2021-06-01 11:45:00+08:00,7653.379,14768.333,7114.954,2.794808,0
2021-06-01 12:00:00+08:00,9184.91,12682.333,3497.4229,1.3738142,0
2021-06-01 12:15:00+08:00,6444.836,6517.0,72.16406,0.028346593,0
2021-06-01 12:30:00+08:00,8664.0625,5262.3335,-3401.729,-1.336225,0
2021-06-01 12:45:00+08:00,10029.305,8325.667,-1703.6377,-0.66920185,0
2021-06-01 13:00:00+08:00,11333.139,9646.667,-1686.4717,-0.6624589,0
2021-06-01 13:15:00+08:00,11113.9375,16318.333,5204.3955,2.044326,0
2021-06-01 13:30:00+08:00,10484.67,8643.333,-1841.3369,-0.7232911,0
2021-06-01 13:45:00+08:00,5474.8145,4314.6665,-1160.148,-0.4557149,0
2021-06-01 14:00:00+08:00,3963.4028,1973.3334,-1990.0695,-0.7817144,0
2021-06-01 14:15:00+08:00,3556.8423,2064.0,-1492.8423,-0.5863998,0
2021-06-01 14:30:00+08:00,4698.153,3171.6667,-1526.4861,-0.59961534,0
2021-06-01 14:45:00+08:00,5072.503,3480.6667,-1591.8362,-0.6252853,0
2021-06-01 15:00:00+08:00,3689.6836,800.6667,-2889.0168,-1.1348277,0
2021-06-01 15:15:00+08:00,3992.5312,2509.6667,-1482.8645,-0.58248043,0
2021-06-01 15:30:00+08:00,4348.4365,3683.3333,-665.1033,-0.26125762,0
2021-06-01 15:45:00+08:00,3410.7842,710.3333,-2700.451,-1.0607576,0
2021-06-01 16:00:00+08:00,3800.3755,1444.6666,-2355.709,-0.92534035,0
2021-06-01 16:15:00+08:00,2794.5288,1469.0,-1325.5288,-0.5206778,0
2021-06-01 16:30:00+08:00,2399.937,964.3333,-1435.6038,-0.5639161,0
2021-06-01 16:45:00+08:00,2221.0308,190.66667,-2030.3641,-0.79754245,0
2021-06-01 17:00:00+08:00,1691.416,26.666666,-1664.7494,-0.6539262,0
2021-06-01 17:15:00+08:00,1287.315,0.0,-1287.315,-0.5056671,0
2021-06-01 17:30:00+08:00,830.0459,0.0,-830.0459,-0.32604834,0
2021-06-01 17:45:00+08:00,674.7363,0.0,-674.7363,-0.26504156,0
2021-06-01 18:00:00+08:00,538.03906,0.0,-538.03906,-0.21134584,0
2021-06-01 18:15:00+08:00,304.4121,0.0,-304.4121,-0.11957539,0
2021-06-02 06:30:00+08:00,1241.9688,1601.3334,359.36462,0.14116116,0
2021-06-02 06:45:00+08:00,1683.522,1547.6666,-135.85535,-0.05336501,0
2021-06-02 07:00:00+08:00,2473.6777,1519.3334,-954.34436,-0.3748737,0
2021-06-02 07:15:00+08:00,2882.7617,1725.0,-1157.7617,-0.4547776,0
2021-06-02 07:30:00+08:00,3184.1792,1392.6666,-1791.5126,-0.70371974,0
2021-06-02 07:45:00+08:00,3256.352,1672.3334,-1584.0187,-0.62221456,0
2021-06-02 08:00:00+08:00,2862.3184,1717.3334,-1144.985,-0.4497588,0
2021-06-02 08:15:00+08:00,2427.3423,2482.6667,55.324463,0.021731868,0
2021-06-02 08:30:00+08:00,3272.4858,5741.6665,2469.1807,0.9699129,0
2021-06-02 08:45:00+08:00,5313.59,9149.333,3835.7432,1.5067091,0
2021-06-02 09:00:00+08:00,6679.3,6425.3335,-253.96631,-0.09975989,0
2021-06-02 09:15:00+08:00,6171.1123,10882.667,4711.5547,1.8507345,0
2021-06-02 09:30:00+08:00,11473.12,18508.666,7035.546,2.7636158,0
2021-06-02 09:45:00+08:00,12076.531,17157.666,5081.135,1.9959083,0
2021-06-02 10:00:00+08:00,11745.002,14283.333,2538.331,0.99707574,0
2021-06-02 10:15:00+08:00,13789.895,18096.334,4306.4395,1.6916021,0
2021-06-02 10:30:00+08:00,13993.604,20716.666,6723.0625,2.64087,0
2021-06-02 10:45:00+08:00,14721.527,20988.666,6267.1387,2.4617796,0
2021-06-02 11:00:00+08:00,10188.309,18665.334,8477.025,3.32984,0
2021-06-02 11:15:00+08:00,17268.676,19124.334,1855.6582,0.72891665,0
2021-06-02 11:30:00+08:00,9182.176,7016.6665,-2165.5093,-0.8506285,0
2021-06-02 11:45:00+08:00,16675.854,14367.667,-2308.1865,-0.9066732,0
2021-06-02 12:00:00+08:00,13828.012,15604.333,1776.3213,0.6977525,0
2021-06-02 12:15:00+08:00,9491.066,4577.6665,-4913.4,-1.9300208,0
