,pred,actual,resid,z,alert
2021-06-01 06:30:00+08:00,205.6123,201.0,-4.6123047,-0.002271783,0
2021-06-01 06:45:00+08:00,366.48242,493.0,126.51758,0.062316027,0
2021-06-01 07:00:00+08:00,858.3721,1059.6666,201.29456,0.099147305,0
2021-06-01 07:15:00+08:00,1103.813,1265.3334,161.52039,0.07955661,0
2021-06-01 07:30:00+08:00,1231.6973,1326.6666,94.96936,0.046777003,0
2021-06-01 07:45:00+08:00,1204.0488,1188.0,-16.048828,-0.007904824,0
2021-06-01 08:00:00+08:00,2060.6104,1866.3334,-194.27698,-0.09569081,0
2021-06-01 08:15:00+08:00,2155.9102,1259.3334,-896.5768,-0.44160745,0
2021-06-01 08:30:00+08:00,662.8242,605.3333,-57.490906,-0.028317053,0
2021-06-01 08:45:00+08:00,2672.9014,3083.0,410.09863,0.20199342,0
2021-06-01 09:00:00+08:00,1466.5767,2190.3333,723.7566,0.35648513,0
2021-06-01 09:15:00+08:00,646.01855,1135.6666,489.64807,0.24117535,0
2021-06-01 09:30:00+08:00,321.16406,458.0,136.83594,0.06739832,0
2021-06-01 09:45:00+08:00,681.5635,782.0,100.43652,0.049469847,0
2021-06-01 10:00:00+08:00,1247.9331,1795.0,547.0669,0.26945692,0
2021-06-01 10:15:00+08:00,1923.9829,2032.3334,108.350464,0.053367846,0
2021-06-01 10:30:00+08:00,2525.0522,3437.3333,912.281,0.44934252,0
2021-06-01 10:45:00+08:00,2277.6802,1187.6666,-1090.0135,-0.5368844,0
2021-06-01 11:00:00+08:00,4728.896,4740.6665,11.770508,0.0057975445,0
2021-06-01 11:15:00+08:00,9687.112,12117.333,2430.2207,1.1970012,0
2021-06-01 11:30:00+08:00,7411.3164,8730.0,1318.6836,0.64951545,0
2021-06-01 11:45:00+08:00,10962.887,14768.333,3805.4463,1.8743664,0
2021-06-01 12:00:00+08:00,11628.447,12682.333,1053.8857,0.5190897,0
2021-06-01 12:15:00+08:00,8235.119,6517.0,-1718.1191,-0.8462568,0
2021-06-01 12:30:00+08:00,8998.0625,5262.3335,-3735.729,-1.8400272,0
2021-06-01 12:45:00+08:00,13381.384,8325.667,-5055.717,-2.490185,0
2021-06-01 13:00:00+08:00,15631.938,9646.667,-5985.2715,-2.9480357,0
2021-06-01 13:15:00+08:00,15230.697,16318.333,1087.6357,0.5357132,0
2021-06-01 13:30:00+08:00,9212.381,8643.333,-569.04785,-0.2802836,0
2021-06-01 13:45:00+08:00,4469.151,4314.6665,-154.48438,-0.07609103,0
2021-06-01 14:00:00+08:00,1752.7178,1973.3334,220.6156,0.10866386,0
2021-06-01 14:15:00+08:00,1370.6206,2064.0,693.3794,0.3415229,0
2021-06-01 14:30:00+08:00,2385.3975,3171.6667,786.2693,0.38727567,0
2021-06-01 14:45:00+08:00,2192.9702,3480.6667,1287.6965,0.63425285,0
2021-06-01 15:00:00+08:00,803.4346,800.6667,-2.7678833,-0.0013633164,0
2021-06-01 15:15:00+08:00,2956.3545,2509.6667,-446.68774,-0.22001532,0
2021-06-01 15:30:00+08:00,2044.7397,3683.3333,1638.5935,0.8070866,0
2021-06-01 15:45:00+08:00,409.48926,710.3333,300.84406,0.14818025,0
2021-06-01 16:00:00+08:00,640.04395,1444.6666,804.6227,0.3963156,0
2021-06-01 16:15:00+08:00,905.8799,1469.0,563.1201,0.2773639,0
2021-06-01 16:30:00+08:00,379.48145,964.3333,584.85187,0.28806785,0
2021-06-01 16:45:00+08:00,5.6054688,190.66667,185.0612,0.091151595,0
2021-06-01 17:00:00+08:00,-203.19922,26.666666,229.86589,0.11322007,0
2021-06-01 17:15:00+08:00,-370.76562,0.0,370.76562,0.18262,0
2021-06-01 17:30:00+08:00,-482.35254,0.0,482.35254,0.23758195,0
2021-06-01 17:45:00+08:00,-488.46582,0.0,488.46582,0.24059305,0
2021-06-01 18:00:00+08:00,-458.8164,0.0,458.8164,0.22598927,0
2021-06-01 18:15:00+08:00,-447.96387,0.0,447.96387,0.22064388,0
2021-06-02 06:30:00+08:00,1148.8184,1601.3334,452.515,0.22288553,0
2021-06-02 06:45:00+08:00,1381.5518,1547.6666,166.11487,0.08181961,0
2021-06-02 07:00:00+08:00,1621.5952,1519.3334,-102.26184,-0.050368905,0
2021-06-02 07:15:00+08:00,1674.2393,1725.0,50.760742,0.02500212,0
2021-06-02 07:30:00+08:00,1523.0083,1392.6666,-130.34167,-0.06419958,0
2021-06-02 07:45:00+08:00,1468.6597,1672.3334,203.6737,0.100319155,0
2021-06-02 08:00:00+08:00,982.21875,1717.3334,735.1146,0.3620795,0
