group,retained_rows,span_h,normal_events,normal_samples,short_circuit_events,short_circuit_samples,degradation_events,degradation_samples,open_circuit_events,open_circuit_samples,shadowing_events,shadowing_samples
0,35395,9.84,76,20194,0,0,0,0,0,0,75,15201
1,35304,9.82,71,19971,0,0,0,0,0,0,70,15333
2,35220,9.83,105,22696,0,0,0,0,0,0,104,12524
3,34663,9.65,108,19007,0,0,0,0,0,0,108,15656
4,36511,10.14,54,23861,0,0,0,0,0,0,53,12650
5,37098,10.31,55,26176,0,0,0,0,0,0,54,10922
6,40801,11.33,74,27214,0,0,0,0,0,0,73,13587
7,40746,11.32,65,29162,0,0,0,0,0,0,64,11584
8,41344,11.51,52,29177,0,0,1,1779,2,4,52,10384
9,41742,11.6,72,25231,0,0,1,2695,1,1,71,13815
10,40644,11.29,141,28961,0,0,0,0,0,0,140,11683
11,39656,11.03,78,25783,2,1226,2,1221,2,1199,75,10227
12,39296,10.93,124,24675,2,1232,2,1222,2,1206,121,10961
13,38244,10.75,20,25638,6,1180,5,1184,4,1204,29,9038
14,38553,10.72,15,26995,3,1179,4,1093,6,1205,21,8081
15,38494,10.7,18,28103,2,1182,4,1177,6,1205,26,6827
