feature_set,model,true,pred,count
Electrical (full),LogReg,Normal,Normal,357280
Electrical (full),LogReg,Normal,Short-Circuit,0
Electrical (full),LogReg,Normal,Degradation,68
Electrical (full),LogReg,Normal,Open-Circuit,0
Electrical (full),LogReg,Normal,Shadowing,45496
Electrical (full),LogReg,Short-Circuit,Normal,0
Electrical (full),LogReg,Short-Circuit,Short-Circuit,5970
Electrical (full),LogReg,Short-Circuit,Degradation,29
Electrical (full),LogReg,Short-Circuit,Open-Circuit,0
Electrical (full),LogReg,Short-Circuit,Shadowing,0
Electrical (full),LogReg,Degradation,Normal,486
Electrical (full),LogReg,Degradation,Short-Circuit,11
Electrical (full),LogReg,Degradation,Degradation,9801
Electrical (full),LogReg,Degradation,Open-Circuit,16
Electrical (full),LogReg,Degradation,Shadowing,57
Electrical (full),LogReg,Open-Circuit,Normal,0
Electrical (full),LogReg,Open-Circuit,Short-Circuit,1
Electrical (full),LogReg,Open-Circuit,Degradation,3
Electrical (full),LogReg,Open-Circuit,Open-Circuit,6020
Electrical (full),LogReg,Open-Circuit,Shadowing,0
Electrical (full),LogReg,Shadowing,Normal,40173
Electrical (full),LogReg,Shadowing,Short-Circuit,595
Electrical (full),LogReg,Shadowing,Degradation,200
Electrical (full),LogReg,Shadowing,Open-Circuit,6
Electrical (full),LogReg,Shadowing,Shadowing,147499
Electrical (full),RF,Normal,Normal,400237
Electrical (full),RF,Normal,Short-Circuit,0
Electrical (full),RF,Normal,Degradation,0
Electrical (full),RF,Normal,Open-Circuit,0
Electrical (full),RF,Normal,Shadowing,2607
Electrical (full),RF,Short-Circuit,Normal,2
Electrical (full),RF,Short-Circuit,Short-Circuit,4969
Electrical (full),RF,Short-Circuit,Degradation,18
Electrical (full),RF,Short-Circuit,Open-Circuit,0
Electrical (full),RF,Short-Circuit,Shadowing,1010
Electrical (full),RF,Degradation,Normal,833
Electrical (full),RF,Degradation,Short-Circuit,20
Electrical (full),RF,Degradation,Degradation,8967
Electrical (full),RF,Degradation,Open-Circuit,20
Electrical (full),RF,Degradation,Shadowing,531
Electrical (full),RF,Open-Circuit,Normal,0
Electrical (full),RF,Open-Circuit,Short-Circuit,0
Electrical (full),RF,Open-Circuit,Degradation,2
Electrical (full),RF,Open-Circuit,Open-Circuit,6022
Electrical (full),RF,Open-Circuit,Shadowing,0
Electrical (full),RF,Shadowing,Normal,3678
Electrical (full),RF,Shadowing,Short-Circuit,54
Electrical (full),RF,Shadowing,Degradation,42
Electrical (full),RF,Shadowing,Open-Circuit,0
Electrical (full),RF,Shadowing,Shadowing,184699
Electrical (full),HistGBM,Normal,Normal,397654
Electrical (full),HistGBM,Normal,Short-Circuit,0
Electrical (full),HistGBM,Normal,Degradation,0
Electrical (full),HistGBM,Normal,Open-Circuit,1326
Electrical (full),HistGBM,Normal,Shadowing,3864
Electrical (full),HistGBM,Short-Circuit,Normal,2
Electrical (full),HistGBM,Short-Circuit,Short-Circuit,5806
Electrical (full),HistGBM,Short-Circuit,Degradation,26
Electrical (full),HistGBM,Short-Circuit,Open-Circuit,0
Electrical (full),HistGBM,Short-Circuit,Shadowing,165
Electrical (full),HistGBM,Degradation,Normal,1
Electrical (full),HistGBM,Degradation,Short-Circuit,36
Electrical (full),HistGBM,Degradation,Degradation,9089
Electrical (full),HistGBM,Degradation,Open-Circuit,21
Electrical (full),HistGBM,Degradation,Shadowing,1224
Electrical (full),HistGBM,Open-Circuit,Normal,0
Electrical (full),HistGBM,Open-Circuit,Short-Circuit,0
Electrical (full),HistGBM,Open-Circuit,Degradation,15
Electrical (full),HistGBM,Open-Circuit,Open-Circuit,5792
Electrical (full),HistGBM,Open-Circuit,Shadowing,217
Electrical (full),HistGBM,Shadowing,Normal,2293
Electrical (full),HistGBM,Shadowing,Short-Circuit,73
Electrical (full),HistGBM,Shadowing,Degradation,59
Electrical (full),HistGBM,Shadowing,Open-Circuit,28
Electrical (full),HistGBM,Shadowing,Shadowing,186020
Electrical + irradiance,LogReg,Normal,Normal,365817
Electrical + irradiance,LogReg,Normal,Short-Circuit,0
Electrical + irradiance,LogReg,Normal,Degradation,68
Electrical + irradiance,LogReg,Normal,Open-Circuit,0
Electrical + irradiance,LogReg,Normal,Shadowing,36959
Electrical + irradiance,LogReg,Short-Circuit,Normal,0
Electrical + irradiance,LogReg,Short-Circuit,Short-Circuit,5973
Electrical + irradiance,LogReg,Short-Circuit,Degradation,26
Electrical + irradiance,LogReg,Short-Circuit,Open-Circuit,0
Electrical + irradiance,LogReg,Short-Circuit,Shadowing,0
Electrical + irradiance,LogReg,Degradation,Normal,423
Electrical + irradiance,LogReg,Degradation,Short-Circuit,13
Electrical + irradiance,LogReg,Degradation,Degradation,9744
Electrical + irradiance,LogReg,Degradation,Open-Circuit,16
Electrical + irradiance,LogReg,Degradation,Shadowing,175
Electrical + irradiance,LogReg,Open-Circuit,Normal,0
Electrical + irradiance,LogReg,Open-Circuit,Short-Circuit,1
Electrical + irradiance,LogReg,Open-Circuit,Degradation,6
Electrical + irradiance,LogReg,Open-Circuit,Open-Circuit,6017
Electrical + irradiance,LogReg,Open-Circuit,Shadowing,0
Electrical + irradiance,LogReg,Shadowing,Normal,34617
Electrical + irradiance,LogReg,Shadowing,Short-Circuit,476
Electrical + irradiance,LogReg,Shadowing,Degradation,177
Electrical + irradiance,LogReg,Shadowing,Open-Circuit,0
Electrical + irradiance,LogReg,Shadowing,Shadowing,153203
Electrical + irradiance,RF,Normal,Normal,400707
Electrical + irradiance,RF,Normal,Short-Circuit,0
Electrical + irradiance,RF,Normal,Degradation,0
Electrical + irradiance,RF,Normal,Open-Circuit,0
Electrical + irradiance,RF,Normal,Shadowing,2137
Electrical + irradiance,RF,Short-Circuit,Normal,2
Electrical + irradiance,RF,Short-Circuit,Short-Circuit,5005
Electrical + irradiance,RF,Short-Circuit,Degradation,20
Electrical + irradiance,RF,Short-Circuit,Open-Circuit,0
Electrical + irradiance,RF,Short-Circuit,Shadowing,972
Electrical + irradiance,RF,Degradation,Normal,880
Electrical + irradiance,RF,Degradation,Short-Circuit,22
Electrical + irradiance,RF,Degradation,Degradation,8938
Electrical + irradiance,RF,Degradation,Open-Circuit,16
Electrical + irradiance,RF,Degradation,Shadowing,515
Electrical + irradiance,RF,Open-Circuit,Normal,0
Electrical + irradiance,RF,Open-Circuit,Short-Circuit,0
Electrical + irradiance,RF,Open-Circuit,Degradation,2
Electrical + irradiance,RF,Open-Circuit,Open-Circuit,6022
Electrical + irradiance,RF,Open-Circuit,Shadowing,0
Electrical + irradiance,RF,Shadowing,Normal,4281
Electrical + irradiance,RF,Shadowing,Short-Circuit,63
Electrical + irradiance,RF,Shadowing,Degradation,27
Electrical + irradiance,RF,Shadowing,Open-Circuit,0
Electrical + irradiance,RF,Shadowing,Shadowing,184102
Electrical + irradiance,HistGBM,Normal,Normal,400468
Electrical + irradiance,HistGBM,Normal,Short-Circuit,0
Electrical + irradiance,HistGBM,Normal,Degradation,0
Electrical + irradiance,HistGBM,Normal,Open-Circuit,0
Electrical + irradiance,HistGBM,Normal,Shadowing,2376
Electrical + irradiance,HistGBM,Short-Circuit,Normal,1
Electrical + irradiance,HistGBM,Short-Circuit,Short-Circuit,5316
Electrical + irradiance,HistGBM,Short-Circuit,Degradation,33
Electrical + irradiance,HistGBM,Short-Circuit,Open-Circuit,0
Electrical + irradiance,HistGBM,Short-Circuit,Shadowing,649
Electrical + irradiance,HistGBM,Degradation,Normal,247
Electrical + irradiance,HistGBM,Degradation,Short-Circuit,25
Electrical + irradiance,HistGBM,Degradation,Degradation,9106
Electrical + irradiance,HistGBM,Degradation,Open-Circuit,17
Electrical + irradiance,HistGBM,Degradation,Shadowing,976
Electrical + irradiance,HistGBM,Open-Circuit,Normal,0
Electrical + irradiance,HistGBM,Open-Circuit,Short-Circuit,0
Electrical + irradiance,HistGBM,Open-Circuit,Degradation,61
Electrical + irradiance,HistGBM,Open-Circuit,Open-Circuit,5963
Electrical + irradiance,HistGBM,Open-Circuit,Shadowing,0
Electrical + irradiance,HistGBM,Shadowing,Normal,2751
Electrical + irradiance,HistGBM,Shadowing,Short-Circuit,66
Electrical + irradiance,HistGBM,Shadowing,Degradation,24
Electrical + irradiance,HistGBM,Shadowing,Open-Circuit,0
Electrical + irradiance,HistGBM,Shadowing,Shadowing,185632
Electrical + irradiance + module temp,LogReg,Normal,Normal,362960
