fold,label,class,train_count_before,train_count_after_downsampling,cap_second_largest,index_sha1
1,0,Normal,325404,154039,154039,0b38d004a037
1,1,Short-Circuit,4773,4773,154039,0b38d004a037
1,2,Degradation,9150,9150,154039,0b38d004a037
1,3,Open-Circuit,4825,4825,154039,0b38d004a037
1,4,Shadowing,154039,154039,154039,0b38d004a037
2,0,Normal,310029,134939,134939,d800e070ce07
2,1,Short-Circuit,4767,4767,134939,d800e070ce07
2,2,Degradation,9149,9149,134939,d800e070ce07
2,3,Open-Circuit,4818,4818,134939,d800e070ce07
2,4,Shadowing,134939,134939,134939,d800e070ce07
3,0,Normal,331781,150419,150419,673c1711b8ae
3,1,Short-Circuit,4819,4819,150419,673c1711b8ae
3,2,Degradation,6492,6492,150419,673c1711b8ae
3,3,Open-Circuit,4819,4819,150419,673c1711b8ae
3,4,Shadowing,150419,150419,150419,673c1711b8ae
4,0,Normal,322459,155883,155883,9bb09b23210f
4,1,Short-Circuit,4820,4820,155883,9bb09b23210f
4,2,Degradation,9278,9278,155883,9bb09b23210f
4,3,Open-Circuit,4819,4819,155883,9bb09b23210f
4,4,Shadowing,155883,155883,155883,9bb09b23210f
5,0,Normal,321703,158612,158612,c88753ee94a8
5,1,Short-Circuit,4817,4817,158612,c88753ee94a8
5,2,Degradation,7415,7415,158612,c88753ee94a8
5,3,Open-Circuit,4815,4815,158612,c88753ee94a8
5,4,Shadowing,158612,158612,158612,c88753ee94a8
