model,fold,removal,baseline_macro_f1,removed_macro_f1,drop
LogReg,1,no_current,0.9125,0.6869,0.2255
LogReg,1,no_voltage,0.9125,0.4979,0.4146
LogReg,2,no_current,0.9009,0.7415,0.1594
LogReg,2,no_voltage,0.9009,0.5779,0.323
LogReg,3,no_current,0.9258,0.7213,0.2045
LogReg,3,no_voltage,0.9258,0.5346,0.3912
LogReg,4,no_current,0.9277,0.8149,0.1128
LogReg,4,no_voltage,0.9277,0.5653,0.3624
LogReg,5,no_current,0.9167,0.7485,0.1682
LogReg,5,no_voltage,0.9167,0.5111,0.4056
RF,1,no_current,0.8663,0.8057,0.0606
RF,1,no_voltage,0.8663,0.6209,0.2454
RF,2,no_current,0.9857,0.8502,0.1355
RF,2,no_voltage,0.9857,0.7185,0.2672
RF,3,no_current,0.9933,0.8025,0.1908
RF,3,no_voltage,0.9933,0.6894,0.3039
RF,4,no_current,0.9927,0.8658,0.1269
RF,4,no_voltage,0.9927,0.6501,0.3426
RF,5,no_current,0.9004,0.8637,0.0367
RF,5,no_voltage,0.9004,0.5236,0.3768
HistGBM,1,no_current,0.9775,0.7862,0.1913
HistGBM,1,no_voltage,0.9775,0.5939,0.3836
HistGBM,2,no_current,0.894,0.8109,0.083
HistGBM,2,no_voltage,0.894,0.6878,0.2062
HistGBM,3,no_current,0.991,0.7993,0.1917
HistGBM,3,no_voltage,0.991,0.6475,0.3435
HistGBM,4,no_current,0.9921,0.8485,0.1436
HistGBM,4,no_voltage,0.9921,0.6244,0.3677
HistGBM,5,no_current,0.9337,0.8486,0.0851
HistGBM,5,no_voltage,0.9337,0.5987,0.335
