feature_set,method,valid_for_reporting,validity_label,true,pred,count
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Normal,Normal,345523
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Normal,Short-Circuit,374
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Normal,Degradation,38085
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Normal,Open-Circuit,0
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Normal,Shadowing,18862
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Short-Circuit,Normal,21
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Short-Circuit,Short-Circuit,5907
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Short-Circuit,Degradation,38
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Short-Circuit,Open-Circuit,9
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Short-Circuit,Shadowing,24
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Degradation,Normal,345
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Degradation,Short-Circuit,19
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Degradation,Degradation,9948
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Degradation,Open-Circuit,31
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Degradation,Shadowing,28
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Open-Circuit,Normal,0
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Open-Circuit,Short-Circuit,0
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Open-Circuit,Degradation,4
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Open-Circuit,Open-Circuit,6018
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Open-Circuit,Shadowing,2
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Shadowing,Normal,13102
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Shadowing,Short-Circuit,706
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Shadowing,Degradation,4636
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Shadowing,Open-Circuit,86
ratio_5k0 + residual_5k0,A_stratified_random_row,False,"stratified random-row 5-fold CV - DIAGNOSTIC ONLY, methodologically invalid for result reporting (adjacent seconds of the same physical event appear in different folds)",Shadowing,Shadowing,169943
ratio_5k0 + residual_5k0,B_group_disjoint,True,VALID,Normal,Normal,299513
