source_event_id,f_nv,start_sample_index,end_sample_index,raw_sample_count
1,0,0,31799,31800
2,4,31800,31801,2
3,0,31802,31802,1
4,4,31803,31803,1
5,0,31804,31804,1
6,4,31805,31805,1
7,0,31806,31807,2
8,4,31808,31808,1
9,0,31809,31809,1
10,4,31810,31811,2
11,0,31812,31817,6
12,4,31818,31819,2
13,0,31820,31821,2
14,4,31822,31822,1
15,0,31823,31832,10
16,4,31833,31833,1
17,0,31834,31836,3
18,4,31837,31837,1
19,0,31838,31843,6
20,4,31844,31844,1
21,0,31845,31845,1
22,4,31846,31846,1
23,0,31847,31849,3
24,4,31850,31850,1
25,0,31851,31853,3
26,4,31854,31854,1
27,0,31855,31857,3
28,4,31858,31860,3
29,0,31861,31861,1
30,4,31862,31862,1
31,0,31863,31864,2
32,4,31865,31871,7
33,0,31872,31872,1
34,4,31873,31875,3
35,0,31876,31877,2
36,4,31878,31882,5
37,0,31883,31885,3
38,4,31886,31900,15
39,0,31901,31901,1
40,4,31902,31904,3
41,0,31905,31905,1
42,4,31906,31915,10
43,0,31916,31916,1
44,4,31917,31966,50
45,0,31967,31967,1
46,4,31968,31996,29
47,0,31997,31997,1
48,4,31998,31999,2
49,0,32000,32000,1
50,4,32001,32007,7
51,0,32008,32008,1
52,4,32009,32014,6
53,0,32015,32016,2
54,4,32017,32020,4
55,0,32021,32021,1
56,4,32022,38035,6014
57,0,38036,38049,14
58,4,38050,38085,36
59,0,38086,38119,34
60,4,38120,38127,8
61,0,38128,40833,2706
62,4,40834,42066,1233
63,0,42067,44530,2464
64,4,44531,44531,1
65,0,44532,51911,7380
66,4,51912,51912,1
67,0,51913,51914,2
68,4,51915,51916,2
69,0,51917,51918,2
70,4,51919,53524,1606
71,0,53525,56284,2760
72,4,56285,56285,1
73,0,56286,56287,2
74,4,56288,62140,5853
75,0,62141,62182,42
76,4,62183,62185,3
77,0,62186,62186,1
78,4,62187,62282,96
79,0,62283,62283,1
80,4,62284,62313,30
81,0,62314,62314,1
82,4,62315,62333,19
83,0,62334,62335,2
84,4,62336,62381,46
85,0,62382,62382,1
86,4,62383,62387,5
87,0,62388,62390,3
88,4,62391,62391,1
89,0,62392,62392,1
90,4,62393,62396,4
91,0,62397,62398,2
92,4,62399,62416,18
93,0,62417,62422,6
94,4,62423,62423,1
95,0,62424,62426,3
96,4,62427,62431,5
97,0,62432,62432,1
98,4,62433,62437,5
99,0,62438,62439,2
100,4,62440,62441,2
101,0,62442,62443,2
102,4,62444,62446,3
103,0,62447,62451,5
104,4,62452,62452,1
105,0,62453,62454,2
106,4,62455,62455,1
107,0,62456,62462,7
108,4,62463,62466,4
109,0,62467,62467,1
110,4,62468,62468,1
111,0,62469,62472,4
112,4,62473,62473,1
113,0,62474,62481,8
114,4,62482,62483,2
115,0,62484,62486,3
116,4,62487,62489,3
117,0,62490,62491,2
118,4,62492,62493,2
119,0,62494,62496,3
120,4,62497,62499,3
121,0,62500,62501,2
122,4,62502,62503,2
123,0,62504,62509,6
124,4,62510,62510,1
125,0,62511,62524,14
126,4,62525,62525,1
127,0,62526,62528,3
128,4,62529,62530,2
129,0,62531,62537,7
130,4,62538,62539,2
131,0,62540,62540,1
132,4,62541,62543,3
133,0,62544,62562,19
134,4,62563,62563,1
135,0,62564,62568,5
136,4,62569,62569,1
137,0,62570,62570,1
138,4,62571,62575,5
139,0,62576,62597,22
140,4,62598,62598,1
141,0,62599,62602,4
142,4,62603,62603,1
143,0,62604,62605,2
144,4,62606,62606,1
