quantity,brazil_representation,hk_population,used_for_gate,ks_statistic,overlap_coefficient,hk_inside_brazil_minmax_pct,hk_inside_brazil_p0.5_p99.5_pct,ranges_overlap,br_n,br_mean,br_median,br_sd,br_p5,br_p25,br_p75,br_p95,br_min,br_max,hk_n,hk_mean,hk_median,hk_sd,hk_p5,hk_p25,hk_p75,hk_p95,hk_min,hk_max,note
normalised power (Brazil / rated 5.00 kW),native 1 Hz,"HK eligible, full 2023",True,0.32,0.5999,93.79,92.7,True,613711,0.5093,0.5682,0.3188,0.0195,0.1927,0.8061,0.915,0.0078,0.9889,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
normalised power (Brazil / rated 5.00 kW),900-s support aggregation (diagnostic),"HK eligible, full 2023",False,0.3409,0.5697,92.73,92.0,True,672,0.5158,0.5931,0.312,0.0221,0.2233,0.8019,0.906,0.0115,0.9746,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
"normalised power (Brazil / rated 5.00 kW, Normal only)",native 1 Hz,"HK eligible, full 2023",False,0.475,0.3835,93.79,92.91,True,402844,0.5543,0.7184,0.3541,0.017,0.0613,0.8429,0.9271,0.0078,0.9889,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
normalised power (Brazil / rated 5.00 kW),native 1 Hz,"HK eligible, all years 2021-2023 (supplementary)",False,0.3001,0.6134,95.72,94.47,True,613711,0.5093,0.5682,0.3188,0.0195,0.1927,0.8061,0.915,0.0078,0.9889,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
normalised power (Brazil / rated 5.00 kW),900-s support aggregation (diagnostic),"HK eligible, all years 2021-2023 (supplementary)",False,0.3174,0.5844,94.54,93.73,True,672,0.5158,0.5931,0.312,0.0221,0.2233,0.8019,0.906,0.0115,0.9746,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
"normalised power (Brazil / rated 5.00 kW, Normal only)",native 1 Hz,"HK eligible, all years 2021-2023 (supplementary)",False,0.4553,0.3964,95.72,94.74,True,402844,0.5543,0.7184,0.3541,0.017,0.0613,0.8429,0.9271,0.0078,0.9889,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
normalised power (Brazil / nameplate 5.28 kW),native 1 Hz,"HK eligible, full 2023",True,0.2984,0.6071,92.96,91.83,True,613711,0.4823,0.5381,0.3019,0.0184,0.1825,0.7634,0.8665,0.0074,0.9365,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
normalised power (Brazil / nameplate 5.28 kW),900-s support aggregation (diagnostic),"HK eligible, full 2023",False,0.3203,0.5758,91.87,91.18,True,672,0.4885,0.5617,0.2954,0.021,0.2114,0.7594,0.8579,0.0109,0.9229,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
"normalised power (Brazil / nameplate 5.28 kW, Normal only)",native 1 Hz,"HK eligible, full 2023",False,0.4506,0.3944,92.96,92.1,True,402844,0.5249,0.6803,0.3353,0.0161,0.0581,0.7982,0.878,0.0074,0.9365,15870,0.3003,0.2296,0.2568,0.0045,0.0758,0.4889,0.7934,0.0,1.0047,
normalised power (Brazil / nameplate 5.28 kW),native 1 Hz,"HK eligible, all years 2021-2023 (supplementary)",False,0.2737,0.6172,94.51,93.21,True,613711,0.4823,0.5381,0.3019,0.0184,0.1825,0.7634,0.8665,0.0074,0.9365,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
normalised power (Brazil / nameplate 5.28 kW),900-s support aggregation (diagnostic),"HK eligible, all years 2021-2023 (supplementary)",False,0.2925,0.5866,93.27,92.49,True,672,0.4885,0.5617,0.2954,0.021,0.2114,0.7594,0.8579,0.0109,0.9229,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
"normalised power (Brazil / nameplate 5.28 kW, Normal only)",native 1 Hz,"HK eligible, all years 2021-2023 (supplementary)",False,0.4303,0.4038,94.51,93.48,True,402844,0.5249,0.6803,0.3353,0.0161,0.0581,0.7982,0.878,0.0074,0.9365,41078,0.3219,0.2534,0.2643,0.0136,0.091,0.5227,0.8327,0.0,1.0047,
irradiance (W/m2),native 1 Hz,"HK eligible, clean-sensor months 2023 (Jan/Feb/Nov/Dec)",True,0.34,0.5903,97.14,95.28,True,613711,574.2313,654.453,312.9391,32.3362,339.444,853.3885,953.7335,20.0005,1085.92,4749,356.6318,269.8913,295.9481,36.5184,99.2108,564.044,916.8092,5.2273,1196.6933,GATE population
irradiance (W/m2),900-s support aggregation (diagnostic),"HK eligible, clean-sensor months 2023 (Jan/Feb/Nov/Dec)",False,0.3481,0.5791,94.71,94.48,True,672,581.4225,653.297,306.0134,36.3539,358.7245,855.1852,953.0305,23.7256,993.7553,4749,356.6318,269.8913,295.9481,36.5184,99.2108,564.044,916.8092,5.2273,1196.6933,GATE population
irradiance (W/m2),native 1 Hz,"HK eligible, full 2023",False,0.2759,0.5688,92.85,89.02,True,613711,574.2313,654.453,312.9391,32.3362,339.444,853.3885,953.7335,20.0005,1085.92,15689,430.3197,321.9887,357.5495,41.8231,120.3307,681.0613,1128.5603,4.672,1529.0533,known sensor-corruption diagnostic — EXCLUDED from the gate
irradiance (W/m2),900-s support aggregation (diagnostic),"HK eligible, full 2023",False,0.2866,0.575,88.82,88.58,True,672,581.4225,653.297,306.0134,36.3539,358.7245,855.1852,953.0305,23.7256,993.7553,15689,430.3197,321.9887,357.5495,41.8231,120.3307,681.0613,1128.5603,4.672,1529.0533,known sensor-corruption diagnostic — EXCLUDED from the gate
