,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-01-01 07:45:00+08:00,0.9007394816779177,6.569661087845588e-11,1.545763684470514e-09,4.598623322714608e-08,0.09926047072438872,Normal,0,0.09926051832208227,Normal,Normal,Normal,Normal,Normal
2023-01-01 08:00:00+08:00,0.7461204125267809,1.665640715528804e-09,5.1008571804515115e-09,2.8176667318903452e-08,0.25387955253005395,Normal,0,0.25387958747321915,Normal,Normal,Normal,Normal,Normal
2023-01-01 08:15:00+08:00,0.595714902157673,4.052510675323824e-09,7.89780196986717e-09,3.120395562930568e-08,0.40428505468805875,Normal,0,0.404285097842327,Normal,Shadowing,Shadowing,Normal,Normal
2023-01-01 08:30:00+08:00,0.26869497451713326,2.5756411730152493e-08,4.000283458166043e-08,4.716627631922301e-09,0.7313049550069928,Shadowing,1,0.7313050254828668,Normal,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 08:45:00+08:00,0.04669235805064122,1.5892107371577992e-07,1.4962998679725846e-07,3.093434947679617e-10,0.9533073330889549,Shadowing,1,0.9533076419493588,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 09:00:00+08:00,0.0026814437220018545,7.544451271238392e-07,1.0487285592263771e-07,3.250830472393887e-11,0.9973176969275068,Shadowing,1,0.9973185562779981,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 09:15:00+08:00,0.0007397897577647858,1.919222739779665e-06,8.753494725015214e-08,4.522341653841851e-12,0.9992582034800259,Shadowing,1,0.9992602102422352,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 09:30:00+08:00,4.173164329163481e-06,9.162397285984685e-06,2.1279687557039753e-09,1.3140503157123038e-17,0.9999866623104161,Shadowing,1,0.9999958268356708,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 09:45:00+08:00,5.16277999896688e-07,5.844786591672594e-06,2.4226528750717194e-10,1.4537203211743508e-19,0.9999936386931431,Shadowing,1,0.9999994837220001,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 10:00:00+08:00,1.521943807052258e-08,7.066092870207267e-07,1.516259963113598e-12,4.239098960839986e-23,0.9999992781697585,Shadowing,1,0.999999984780562,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 10:15:00+08:00,1.5645517721775222e-10,3.817118900537742e-08,1.9271444675572333e-14,2.54443139310972e-25,0.9999999616723365,Shadowing,1,0.9999999998435448,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 10:30:00+08:00,1.5095327593188255e-07,3.161381972611662e-06,5.835649478426684e-11,7.424703888594215e-20,0.999996687606395,Shadowing,1,0.9999998490467241,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 10:45:00+08:00,3.6381046778666564e-09,3.7585746004442294e-07,1.584103764579426e-12,7.4632570787274e-22,0.9999996205028511,Shadowing,1,0.9999999963618953,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 11:00:00+08:00,1.3106917715237395e-07,2.9925129307045872e-06,4.089181870025943e-11,1.8541509521086452e-20,0.9999968763770003,Shadowing,1,0.9999998689308228,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 11:15:00+08:00,8.801205187986012e-09,1.4803508123858478e-06,1.3716271399169331e-12,9.962210176125363e-22,0.9999985108466107,Shadowing,1,0.9999999911987948,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 11:30:00+08:00,4.236872708186738e-08,2.0876520245544195e-06,9.754301603459436e-12,3.606452608854999e-21,0.999997869969494,Shadowing,1,0.9999999576312729,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 11:45:00+08:00,2.272285453664906e-06,7.894546209443065e-06,1.2125893626839243e-09,3.5932599978377995e-18,0.9999898319557475,Shadowing,1,0.9999977277145463,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 12:00:00+08:00,5.049533822845958e-06,7.639445605920423e-06,2.478929642015825e-09,3.083552862227734e-17,0.9999873085416414,Shadowing,1,0.9999949504661771,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 12:15:00+08:00,0.001984362271891465,1.4099771511762255e-06,1.4978627680394998e-07,1.4048594892892923e-12,0.9980140779632756,Shadowing,1,0.9980156377281085,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 12:30:00+08:00,6.662574111633961e-06,6.214629947547254e-06,2.330171607600682e-09,7.853946057394092e-17,0.9999871204657691,Shadowing,1,0.9999933374258884,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-01-01 12:45:00+08:00,5.188348654920122e-07,4.3761201515267675e-06,2.1988910068436982e-10,1.5766835087446241e-19,0.9999951048250939,Shadowing,1,0.9999994811651345,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
