check,scope,result,verdict,fold,hk_below_power_range_pct,hk_above_power_range_pct,hk_below_irr_range_pct,hk_above_irr_range_pct,hull_containment_pct,bin_containment_pct
1. Source-performance floor,"Brazil, frozen grouped protocol","Step 2 count-level reproduction PASS; Macro F1 0.6938, anomalous F1 0.8180, balanced accuracy 0.8701",SATISFIED,,,,,,,
2. Within-Brazil sanity transfer,each fold model on its held-out Brazil groups,"per-fold held-out Macro F1 0.6491, 0.9470, 0.6518, 0.7118, 0.6044 (mean 0.7128, min 0.6044)",SATISFIED,,,,,,,
"3. Input-range extrapolation (per fold, Gate 2 methods)",each fold's own Brazil training data vs HK primary,"hull containment 93.07-95.68% (mean 94.85%); occupied-bin 86.45-89.97% (mean 88.76%); max out-of-range on any axis 3.37%. Most HK rows lie within broad source support, so gross out-of-range extrapolation alone is unlikely to explain the very high screening rate. Local and conditional distribution shift remain possible and are not excluded; approximately 10-14% of HK rows fall outside occupied training cells.",MOSTLY WITHIN BROAD SOURCE SUPPORT (local shift not excluded),,,,,,,
4. Degenerate-output check,"HK clean-sensor primary, ensemble five-class argmax","Output highly concentrated: Shadowing 64.19%, Normal 32.03%, Degradation 3.48%, Short-Circuit 0.17%, Open-Circuit 0.13% of 4,745 rows. Per-fold screening behaviour similar throughout (59.85-70.07%), unanimous binary agreement 83.31%, pairwise 86.83-96.31%; the concentration is not attributable to a single unstable fold. No collapse threshold applied - none was preregistered.",DESCRIPTIVE: highly concentrated on Shadowing; not fold-driven,,,,,,,
5. Corrupted-input contrast,clean-sensor primary vs March-October 2023,"Aggregate screening prevalence nearly unchanged: clean-sensor 67.97% of 4,745 rows vs March-October 68.28% of 10,939 rows. NOT a matched counterfactual: the periods differ in time and operating conditions, and identical aggregate rates may conceal different row-level predictions or class distributions. No conclusion drawn about the effect of irradiance corruption.",COMPUTED (not a matched counterfactual),,,,,,,
3. per-fold detail,,,,1.0,1.012,0.0,1.075,3.372,94.54,87.67
3. per-fold detail,,,,2.0,1.012,0.0,1.075,1.812,95.66,89.86
3. per-fold detail,,,,3.0,1.033,0.0,1.075,1.791,95.3,89.97
3. per-fold detail,,,,4.0,1.012,0.0,1.075,1.791,95.68,89.86
3. per-fold detail,,,,5.0,1.012,0.0,1.075,1.791,93.07,86.45
