quantity,reproduced,frozen,abs_diff,match_4dp
macro_f1,0.693778,0.6938,2.2e-05,True
anomalous_f1,0.818039,0.818,3.9e-05,True
balanced_accuracy,0.870131,0.8701,3.1e-05,True
cm[Normal->Normal],342633.0,342633.0,0.0,True
cm[Normal->Short-Circuit],7.0,7.0,0.0,True
cm[Normal->Degradation],6879.0,6879.0,0.0,True
cm[Normal->Open-Circuit],0.0,0.0,0.0,True
cm[Normal->Shadowing],53325.0,53325.0,0.0,True
cm[Short-Circuit->Normal],26.0,26.0,0.0,True
cm[Short-Circuit->Short-Circuit],3695.0,3695.0,0.0,True
cm[Short-Circuit->Degradation],1498.0,1498.0,0.0,True
cm[Short-Circuit->Open-Circuit],10.0,10.0,0.0,True
cm[Short-Circuit->Shadowing],770.0,770.0,0.0,True
cm[Degradation->Normal],4592.0,4592.0,0.0,True
cm[Degradation->Short-Circuit],2695.0,2695.0,0.0,True
cm[Degradation->Degradation],2699.0,2699.0,0.0,True
cm[Degradation->Open-Circuit],38.0,38.0,0.0,True
cm[Degradation->Shadowing],347.0,347.0,0.0,True
cm[Open-Circuit->Normal],0.0,0.0,0.0,True
cm[Open-Circuit->Short-Circuit],0.0,0.0,0.0,True
cm[Open-Circuit->Degradation],0.0,0.0,0.0,True
cm[Open-Circuit->Open-Circuit],5418.0,5418.0,0.0,True
cm[Open-Circuit->Shadowing],606.0,606.0,0.0,True
cm[Shadowing->Normal],18635.0,18635.0,0.0,True
cm[Shadowing->Short-Circuit],533.0,533.0,0.0,True
cm[Shadowing->Degradation],339.0,339.0,0.0,True
cm[Shadowing->Open-Circuit],50.0,50.0,0.0,True
cm[Shadowing->Shadowing],168916.0,168916.0,0.0,True
binary_TN,342633.0,342633.0,0.0,True
binary_FP,60211.0,60211.0,0.0,True
binary_FN,23253.0,23253.0,0.0,True
binary_TP,187614.0,187614.0,0.0,True
